PC_1,PC_2
-9574.181902743021,-23690.675093291055
-3971.460086470476,-3282.9641596007673
-9983.808219676675,27804.16930434576
-4523.295288572286,-7738.723571955491
-5670.317091681008,-13841.445761484309
-9354.382645772486,-23645.879442672016
-9736.23193031547,-23485.56178595667
-9383.532521297555,-23685.423715661465
-9847.956136815756,-22826.446493503954
-8135.495126712486,-16667.93462430182
-7126.863233841758,-23596.891347223514
-9875.66334500523,-16516.608400918663
-9839.82179756446,-23372.66242992452
-9115.994705676721,-23723.1416557158
-9782.020000507857,-23587.971459569788
191061.18514602265,-22422.261873168594
-9844.00304941984,-23347.955214293812
-9897.848889789828,-5963.315251631654
-9666.405082751873,-20484.868279405935
-9418.146542202729,-23785.519516717774
-9736.387975428537,-23620.492340323748
-9123.503427308484,18148.112445469134
-8662.445799562618,-23711.171722818824
-9711.495214221779,-23477.880078207083
-6796.920243832864,-23668.006416479067
-8489.44378300458,-23747.75209215424
-4837.796293098948,-23727.66976346921
-9860.721896599605,-21922.868965226862
-9575.047983954042,-23680.02528109306
-9762.910547627016,-23057.849198905365
-7926.206269792894,-4170.056698864645
-9881.198292107592,5151.518030926851
-9840.719647544087,-10581.664049459814
-9812.346579415345,-7054.563200406544
-9862.347024550558,-21577.76307528391
-7644.035145896041,-23673.81115578054
-7715.204073323905,-23735.184317830044
-9807.657112038607,-23704.567251810626
-4312.337203175979,-21114.465522289564
-9188.980854026824,-23423.536210984676
-9858.421755718064,26140.28420122816
-7156.405099846636,-4092.327452162685
-10036.68411760171,53540.703798762
-9861.784249947434,-18904.022827166544
-9684.725943404554,-23568.39731802718
-9830.577502382861,-20866.276196989198
-9416.275934083369,-17779.786013092362
-5335.648576047074,-22544.595597252996
-9760.500639606627,-21106.29899760348
-8244.412570335326,-23661.454163397895
-9814.706180022935,-23136.01104914594
-5549.0187007360155,-23891.67924786081
-9617.756424850699,-23764.03750010594
-9286.927744722672,-23872.31361404921
-9542.644104336685,38987.6030176217
-9667.828337006244,-23640.50083728638
-8630.883289398349,-23618.58441975608
-6028.585700056438,-23796.938099682146
-7565.5406396068165,-23682.481243363545
-7797.34359664613,-23494.44240385082
-9851.955215823877,-23023.512474541512
-9584.329576835466,-23412.825865489278
20475.962259379678,-23581.109766109752
-9821.056039854444,-22889.598851361345
-8984.549764547164,22443.379594988015
-8200.091494984063,12918.266846048
-9927.29002737099,26894.395616702503
-9821.156031514638,-23060.705543462653
-7252.115849314146,-5924.098760458533
-9314.186933801204,-23821.936340544857
-6506.655766294188,22216.66914648643
-10159.392856493016,135451.90762255952
-4870.875971042861,-11089.819164527516
-9725.769274494553,-23071.298572262254
-9806.810974324368,-23447.820743742224
-9861.245691355698,-19094.780107541745
-9845.470155413086,-22697.33951048537
-9294.73045255958,-23717.54224951096
-9830.877958338442,-23346.81914760867
-9369.30021546818,-23635.826470932865
-9763.76226080777,-23281.881288186196
-9636.209802853518,-23466.088745146368
-9901.350483100696,4515.115703568161
-9624.648436456242,-14255.813570538636
-9624.282772902197,-16325.616333107875
-9504.092185581332,-21287.360851356487
-9765.513028348092,-22491.867622719677
-7179.805292004631,-19143.49816048958
-9881.221968330485,-13399.620317344768
-9820.592534415833,-4549.333139262344
-9578.576639412457,-17603.57045996524
-9750.78452681386,-15210.277402850443
-9838.308107170953,-22817.141434500376
-9818.171687726224,-23319.102048683355
-9772.997035921644,-23737.530102035038
2089.143294753463,-23769.49604397651
-9837.465846598316,-22105.684809781847
-9737.549128549048,-23467.728255489776
-9825.231104466808,-23385.94282734143
-9771.943086848487,-22712.016795794032
-9704.42584351197,-22486.6719655714
-9708.331047199626,-23121.71169508146
-9528.579150303427,-23608.54711337599
-9844.978530957284,-22442.078778789004
-9650.191162122164,-23615.93604320874
98304.57190213061,-23074.208109511274
-9841.299222509982,-23460.059207346505
-9830.3208504893,-23312.49131298159
-9846.802374510942,-23145.22429025594
-9747.964289951986,-23796.727389528343
-9793.058860321085,-23774.1562656965
-8964.084922928298,-23761.99087916085
-9179.658735052177,-23702.075370299586
-9836.93419691808,-23669.87917065793
-9802.891935722546,-23772.927923930758
-9624.568881175555,-23046.999381473965
-9806.204601521717,-23055.234643837117
-9611.658450014136,-23451.75860539812
-9855.198885115982,-22943.364333754555
11188.502605433798,10887.131456265048
-8242.127841735448,-23830.80972187753
-9724.70621571783,-23659.24826570433
-9291.95368684789,-23746.920115361965
-9619.368587177956,-23694.486032424506
-9763.436797125847,-23600.71207973785
-9695.946084363475,-23833.259604941377
-8691.50342596413,-23705.346986476834
-9847.112962847146,-23439.957892313294
-9790.035412742269,-23679.87701743768
-8562.968065249333,-23858.52956881613
-7636.228540927333,-23804.868031663384
-9266.14778232903,-23704.27375498448
-9080.45146698029,-23508.01727215942
-9648.883095455516,-23425.967454532707
-9852.102388697323,-23428.451238472106
-9757.5227497741,-23658.1827620807
-8868.465278659325,-23833.681279524306
-9830.321431080252,-23622.313077320294
-9469.917475901613,-23870.392322591728
-6157.847883576275,-11772.210447942036
-9817.857057765168,-22976.57772898279
-7557.786995728425,-18850.959672604684
-6809.061616511309,-21029.507463542093
